Date,Baseline 1,Baseline 2,Sport,Drink,Meal 1,Meal 2,Meal 3,Meal 4,Meal 5
14/06/2020,4.5,5,no,water,air,air,air,air,air
15/06/2020,4,5,no,water,pear + apple,chocolate small,tarabin,avocado small,labane
16/06/2020,4.5,5,football,black coffee,pear + peach,tari bari,bamba small,air,air
17/06/2020,5.5,4.5,no,black coffee,yoplait with granola,shwarma,ycs * 2,tapoo,air
18/06/2020,5.5,4.5,no,coffee with milk,greko shwarma,chocolate small,ycs,air,air
19/06/2020,5.5,5,no,pomegranate soda,gulasch with beans,ycs,popcorn,greko scurdelia * 2,cheetos + bisley
20/06/2020,4.5,5.5,no,pomegranate soda,schips pasta,pear,labane,air,air
21/06/2020,2.5,5.5,no,coffee with milk,pasta with schnitzel,bamba,fr egg,air,air
22/06/2020,2.5,5.5,no,black coffee,pear + plum,pasta with schnitzel,pizza with shlomi,air,air
23/06/2020,3,5.5,football,coffee with milk,air,tari bari,banana,air,air
24/06/2020,3,5.5,no,black coffee,ycs,abo hasan,peach + pear,air,air
25/06/2020,3.5,6,no,coffee with milk,sugar with yople,tuna sandwich + ycs small,rice with kuba,peach + gamba,bisley
26/06/2020,4.5,7,no,water,kbb and wng on the fire,air,air,air,air
27/06/2020,5.5,8,no,black coffee,haluz,amrcn peanuts,bisley,pasta with schnitzel,air
28/06/2020,6,8,no,black coffee,sarma with wng on the fire,kariot small,pear,air,air
29/06/2020,6.5,8,no,black coffee,tarabin,amrcn peanuts,kariot baby,air,air
30/06/2020,7,7.5,football,black coffee,tari bari,pear,tuna s * 2,ycs,yoplait cake
01/07/2020,7.5,8,no,water,banana,giraffe,too many sweets,air,air
02/07/2020,7.5,7,no,black coffee,ycs,chocolates,pears,labane,bisley
03/07/2020,7,8,no,pomegranate soda,rice with chicken,bamba,gamba,air,air
04/07/2020,6,7,no,pomegranate soda,rice with chicken,snacks,halva * 6,too many sweets,air
05/07/2020,5.5,6,no,pomegranate soda,pears,rice with beef,tuna and egg sandwich,air,air
06/07/2020,5,6,no,coffee with milk,pear + grapes,ravioli,ycs,air,air
07/07/2020,5.5,6,football,black coffee,pear + grapes,air,tari barie,air,air
08/07/2020,6,6.5,no,coffee with milk,yoplait pro danone * 2,greko,pears,ycs,bisley + doritos
09/07/2020,6.5,7.5,no,pomegranate soda,rice with gulasch,gamba,mataz haluz,bisley,air
10/07/2020,6,8,no,pomegranate soda,schuschbarak mit tchorza,bamba,schuschbarak mit tchorza,pizza,air
11/07/2020,5.25,8,no,pomegranate soda,mom's spaghetti,popcorn,kariot,air,air
12/07/2020,4,8,no,pomegranate soda,mom's spaghetti,kariot,air,air,air
13/07/2020,3.5,7,no,black coffee,chumuss,kariot,apple,ycs,air
14/07/2020,3.25,6.5,no,black coffee,fish from liv,yoplait,bamba,air,air
15/07/2020,4.25,6.5,no,coffee with milk,mukpatz with pork,chocolate small,yoplait,tapoo,air
16/07/2020,5.75,6.5,no,pomegranate soda,schips pasta,gamba + pears,mataz haluz * 3,bamba,watermelon
17/07/2020,6.75,7,no,pomegranate soda,mom's pizza,bamba,sima's maadan,popcorn,air
18/07/2020,6,7,no,pomegranate soda,gulasch,bamba,tapoo,watermelon,air
19/07/2020,3.75,7,no,pomegranate soda,kaffe maffe,gulasch,nectarine,ycs,kariot big
20/07/2020,4,7,no,coffee with milk,humus,nectarine,air,air,air
21/07/2020,4.75,7,football,black coffee,humus,nectarine,small sandwich * 2,bamba,air
22/07/2020,5,6.5,no,black coffee,tarabin,little bit popcorn,ycs,watermelon,air
23/07/2020,4.75,5,no,pomegranate soda,pasta with schnitzel,nectarine,labane,bamba + mexico,air
24/07/2020,3.75,5,no,pomegranate soda,halva * 3,rice with ktzitzot,mataz haluz,watermelon small,bisley barbie
25/07/2020,2.75,5.5,no,pomegranate soda,rice with ktzitzot and gulasch,kariot,bisley gril + mexico,tea and bisuits z9not much),air
26/07/2020,2.25,6,no,pomegranate soda,rice with ktzitzot and gulasch,kariot small,nectarine,bisley gril * 1,air
27/07/2020,2.75,6,no,coffee with milk,shwarma,nectarine,kariot small,air,air
28/07/2020,4,7,football,coffee with milk,salad with tchina,ycs small,bamba,kariot small,air
29/07/2020,5,7,no,water,shwarma,maadanim,air,air,air
30/07/2020,4.75,7.5,no,pomegranate soda,cuscus with chicken,nectarine,haluz,bamba + mexico,air
31/07/2020,4,8,no,pomegranate soda,cuscus with chicken,nectarine,mexico,air,air
01/08/2020,5,7,no,pomegranate soda,rice with kuba,nectarine,mexico,sima's pizza,air
